prompt,completion
" For most antipsychotics the ingestion of one tablet caused symptoms that were sometimes severe and usually lasted from 1 to 3 days. 

###

"," 
antipsychotics, causes, symptoms
#####"
" Chlorpromazine caused CNS depression, hypotension and miosis; EPS and cardiac effects were rare, and the toxic dose was estimated to be 15 mg/kg. 

###

"," 
Chlorpromazine, causes, CNS depression
Chlorpromazine, causes, hypotension
Chlorpromazine, causes, miosis
Chlorpromazine, causes, EPS
Chlorpromazine, causes, cardiac effects
#####"
" Atypical antipsychotics caused significant CNS depression (except risperidone); EPS were less common. 

###

"," 
Atypical antipsychotics, causes, CNS depression
Atypical antipsychotics, causes, EPS
#####"
" In summary, unintentional antipsychotic ingestion in children can cause severe effects that last 1-3 days, often with one tablet. 

###

"," 
antipsychotic ingestion, causes, severe effects
#####"
" Due to the discomfort caused to patients, failure of subarachnoid blocks that happen occasionally even when properly conducted be the most capable professionals have been described since Bier. 

###

"," 
failure of subarachnoid blocks, causes, discomfort
#####"
"However, the concept of failure and especially identification of the causes vary. 

###

"," 

#####"
" This paper reports the first systematic review of uncommon causes of status epilepticus reported in the literature between 1990 and 2008. 

###

"," 

#####"
"Uncommon causes are defined as those not listed in the main epidemiological studies of status epilepticus. 

###

"," 

#####"
"181 causes were identified. 

###

"," 

#####"
" A sixth category of 'other causes' has also been included. 

###

"," 

#####"
" It is characterized by the absence of identified causes for CKD. 

###

"," 

#####"
" Any cartilage damage to the glenohumeral joint should be avoided, as these damages may result in osteoarthritis of the shoulder. 

###

"," 
cartilage damage, causes, osteoarthritis
#####"
" Cadmium, a widespread environmental pollutant, is a carcinogen that accumulates in the kidney cortex and is a cause of end-stage renal disease. 

###

"," 
Cadmium, causes, end-stage renal disease
#####"
" Infections are estimated to cause approximately 15% of the world's cancers with large geographic variations. 

###

"," 
Infections, causes, cancers
#####"
" A systematic literature search was performed for each infection to obtain data on infection prevalence in the population and the relative risk or odds ratio associated with the cancer it causes. 

###

"," 
infection, causes, cancer
#####"
" An extensive search was performed to locate research papers on childhood blindness prevalence and its causes in the community based and blind schools, respectively, conducted from 1990 onward up to the present. 

###

"," 

#####"
" The causes of childhood blindness from the available blind school studies revealed that causes of childhood blindness have mainly shifted from corneal causes to whole globe abnormalities. 

###

"," 
corneal causes, causes, childhood blindness
whole globe abnormalities, causes, childhood blindness
#####"
" Childhood blindness is one of the priority targets of Vision 2020-Right To Sight due to its impact on the psychological and social growth of the child. 

###

"," 

#####"
" Cerebral infarction caused by pituitary apoplexy (PA) is rare. 

###

"," 
pituitary apoplexy (PA), causes, cerebral infarction
#####"
" Stroke is one of the commonest causes of mortality among the world. 

###

"," 
Stroke, causes, mortality
#####"
" Regarding the genetic causes of intracerebral hemorrhage (ICH) monogenic causes play a small role. 

###

"," 
genetics, causes, intracerebral hemorrhage (ICH)
monogenic causes, causes, intracerebral hemorrhage (ICH)
#####"
"The causes of SH can be classified as external, internal and intraarticular. 

###

"," 

#####"
"The clinician's goal is to determine the cause and treat patients who have symptomatic SH so that they may return to their activities or to athletic peak performance.M

###

"," 

#####"
" Arthroscopy may prove useful in the treatment of intraarticular lesions that are causing discomfort. 

###

"," 
intraarticular lesions, causes, discomfort
#####"
" The aim of this study is to analyze the causes of failure and to provide a treatment algorithm. 

###

"," 

#####"
" A morphological and functional pre-therapeutic evaluation is necessary to: (i) determine whether the symptoms are due to recurrence of reflux or to an error in initial indication and (ii) to understand the cause of the failure. 

###

"," 

#####"
"The most frequent causes of failure of ST-GERD include errors in the initial indication, which often only need medical treatment, and surgical technical errors, for which surgical redo surgery can be difficult. 

###

"," 

#####"
" A morphological and functional pre-therapeutic evaluation is necessary to: (i) determine whether the symptoms are due to recurrence of reflux or to an error in initial indication and (ii) to understand the cause of the failure. 

###

"," 
reflux, causes, symptoms
#####"
" Rickettsioses are diseases caused by rickettsiae, obligate intracellular bacteria that are transmitted by arthropods to humans. 

###

"," 
rickettsiae, causes, rickettsioses
rickettsiae, causes, diseases
#####"
