term,pmid,focused_sentences,text,relationships,model_curie:ft-user-92vwagyayt5ojmicz5l5vwi1-2021-10-01-12-16-16
causes,31766892,"This list could guide clinicians in the evaluation of patients with AA amyloidosis in whom an obvious cause is lacking. 

###

","CAUSES OF AA AMYLOIDOSIS: A SYSTEMATIC REVIEW. From a clinical perspective, there is a need for a reliable and comprehensive list of diseases causing AA amyloidosis. This list could guide clinicians in the evaluation of patients with AA amyloidosis in whom an obvious cause is lacking. In this systematic review, a PubMed, Embase and Web of Science literature search were performed on causes of AA amyloidosis published in the last four decades. Initially, 4066 unique titles were identified, but only 795 full-text articles and letters were finally selected for analysis. Titles were excluded because of non-AA type of amyloidosis, language, no full-text publication or irrelevance. Hundred and fifty diseases were initially reported to be associated with the development of AA amyloidosis. The presence of AA amyloid was proven in 208 articles (26% of all) of which 140 (67%) showed a strong association with an underlying disease process. Disease associations were categorized and 48 were listed as strong, 19 as weak, 23 as unclear, and 60 as unlikely. Most newly described diseases are not really unexpected because they often cause longstanding inflammation. Based on the spectrum of identified causes, a pragmatic diagnostic approach is proposed for the AA amyloidosis patient in whom an obvious underlying disease is lacking.",,
causes,31766892,"In this systematic review, a PubMed, Embase and Web of Science literature search were performed on causes of AA amyloidosis published in the last four decades. 

###

","CAUSES OF AA AMYLOIDOSIS: A SYSTEMATIC REVIEW. From a clinical perspective, there is a need for a reliable and comprehensive list of diseases causing AA amyloidosis. This list could guide clinicians in the evaluation of patients with AA amyloidosis in whom an obvious cause is lacking. In this systematic review, a PubMed, Embase and Web of Science literature search were performed on causes of AA amyloidosis published in the last four decades. Initially, 4066 unique titles were identified, but only 795 full-text articles and letters were finally selected for analysis. Titles were excluded because of non-AA type of amyloidosis, language, no full-text publication or irrelevance. Hundred and fifty diseases were initially reported to be associated with the development of AA amyloidosis. The presence of AA amyloid was proven in 208 articles (26% of all) of which 140 (67%) showed a strong association with an underlying disease process. Disease associations were categorized and 48 were listed as strong, 19 as weak, 23 as unclear, and 60 as unlikely. Most newly described diseases are not really unexpected because they often cause longstanding inflammation. Based on the spectrum of identified causes, a pragmatic diagnostic approach is proposed for the AA amyloidosis patient in whom an obvious underlying disease is lacking.",,
causes,31766892," Titles were excluded because of non-AA type of amyloidosis, language, no full-text publication or irrelevance. 

###

","CAUSES OF AA AMYLOIDOSIS: A SYSTEMATIC REVIEW. From a clinical perspective, there is a need for a reliable and comprehensive list of diseases causing AA amyloidosis. This list could guide clinicians in the evaluation of patients with AA amyloidosis in whom an obvious cause is lacking. In this systematic review, a PubMed, Embase and Web of Science literature search were performed on causes of AA amyloidosis published in the last four decades. Initially, 4066 unique titles were identified, but only 795 full-text articles and letters were finally selected for analysis. Titles were excluded because of non-AA type of amyloidosis, language, no full-text publication or irrelevance. Hundred and fifty diseases were initially reported to be associated with the development of AA amyloidosis. The presence of AA amyloid was proven in 208 articles (26% of all) of which 140 (67%) showed a strong association with an underlying disease process. Disease associations were categorized and 48 were listed as strong, 19 as weak, 23 as unclear, and 60 as unlikely. Most newly described diseases are not really unexpected because they often cause longstanding inflammation. Based on the spectrum of identified causes, a pragmatic diagnostic approach is proposed for the AA amyloidosis patient in whom an obvious underlying disease is lacking.",,
causes,31766892," Most newly described diseases are not really unexpected because they often cause longstanding inflammation. 

###

","CAUSES OF AA AMYLOIDOSIS: A SYSTEMATIC REVIEW. From a clinical perspective, there is a need for a reliable and comprehensive list of diseases causing AA amyloidosis. This list could guide clinicians in the evaluation of patients with AA amyloidosis in whom an obvious cause is lacking. In this systematic review, a PubMed, Embase and Web of Science literature search were performed on causes of AA amyloidosis published in the last four decades. Initially, 4066 unique titles were identified, but only 795 full-text articles and letters were finally selected for analysis. Titles were excluded because of non-AA type of amyloidosis, language, no full-text publication or irrelevance. Hundred and fifty diseases were initially reported to be associated with the development of AA amyloidosis. The presence of AA amyloid was proven in 208 articles (26% of all) of which 140 (67%) showed a strong association with an underlying disease process. Disease associations were categorized and 48 were listed as strong, 19 as weak, 23 as unclear, and 60 as unlikely. Most newly described diseases are not really unexpected because they often cause longstanding inflammation. Based on the spectrum of identified causes, a pragmatic diagnostic approach is proposed for the AA amyloidosis patient in whom an obvious underlying disease is lacking.","
diseases, causes, inflammation
",
causes,31150545," Approximately 50% of pregnancy losses are caused by chromosomal abnormalities, such as aneuploidy. 

###

","POTENTIAL GENETIC CAUSES OF MISCARRIAGE IN EUPLOID PREGNANCIES: A SYSTEMATIC REVIEW. Approximately 50% of pregnancy losses are caused by chromosomal abnormalities, such as aneuploidy. The remainder has an apparent euploid karyotype, but it is plausible that there are cases of pregnancy loss with other genetic aberrations that are not currently routinely detected. Studies investigating the use of exome sequencing and chromosomal microarrays in structurally abnormal pregnancies and developmental disorders have demonstrated their clinical application and/or potential utility in these groups of patients. Similarly, there have been several studies that have sought to identify genes that are potentially causative of, or associated with, spontaneous pregnancy loss, but the evidence has not yet been synthesized.","
chromosomal abnormalities, causes, pregnancy losses
aneuploidy, causes, pregnancy losses
",
causes,29709055," Identification of the causes of stillbirth is critical to the primary prevention of stillbirth and to the provision of optimal care in subsequent pregnancies. 

###

","INTERVENTIONS FOR INVESTIGATING AND IDENTIFYING THE CAUSES OF STILLBIRTH. Identification of the causes of stillbirth is critical to the primary prevention of stillbirth and to the provision of optimal care in subsequent pregnancies. A wide variety of investigations are available, but there is currently no consensus on the optimal approach. Given their cost and potential to add further emotional burden to parents, there is a need to systematically assess the effect of these interventions on outcomes for parents, including psychosocial outcomes, economic costs, and on rates of diagnosis of the causes of stillbirth.",,
causes,23640312," Though LBP can be caused by acute injuries, biomechanical discrepancies have also been indicated to cause chronic LBP. 

###

","A SYSTEMATIC REVIEW: THE EFFECTS OF PODIATRICAL DEVIATIONS ON NONSPECIFIC CHRONIC LOW BACK PAIN. Lower back pain (LBP) is a widespread, expensive, and debilitating problem in Western industrialized countries. Though LBP can be caused by acute injuries, biomechanical discrepancies have also been indicated to cause chronic LBP. A possible link between podiatrical deviations and LBP has been established in the literature; yet, no comprehensive review investigating the effects of foot and ankle deviations on low back pain has been published. The aim of this study was to assess the relevant literature concerning the effects of foot and ankle deviations on LBP. After review, it was determined that there is limited research regarding ankle and foot deviations and their connection to LBP. Reviewed studies have linked flat feet, ankle instability, sagittal plane blockage and excessive pronation to LBP. Specifically, excessive pronation has been shown to cause leg length discrepancies leading to pelvic tilts and LBP. Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. Clinicians should consider the foot and ankle when addressing LBP, especially if more conventional etiologies fail to describe the condition.","
acute injuries, causes, LBP
biomechanical discrepancies, causes, LBP
",
causes,23640312," Specifically, excessive pronation has been shown to cause leg length discrepancies leading to pelvic tilts and LBP. 

###

","A SYSTEMATIC REVIEW: THE EFFECTS OF PODIATRICAL DEVIATIONS ON NONSPECIFIC CHRONIC LOW BACK PAIN. Lower back pain (LBP) is a widespread, expensive, and debilitating problem in Western industrialized countries. Though LBP can be caused by acute injuries, biomechanical discrepancies have also been indicated to cause chronic LBP. A possible link between podiatrical deviations and LBP has been established in the literature; yet, no comprehensive review investigating the effects of foot and ankle deviations on low back pain has been published. The aim of this study was to assess the relevant literature concerning the effects of foot and ankle deviations on LBP. After review, it was determined that there is limited research regarding ankle and foot deviations and their connection to LBP. Reviewed studies have linked flat feet, ankle instability, sagittal plane blockage and excessive pronation to LBP. Specifically, excessive pronation has been shown to cause leg length discrepancies leading to pelvic tilts and LBP. Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. Clinicians should consider the foot and ankle when addressing LBP, especially if more conventional etiologies fail to describe the condition.","
excessive pronation, causes, leg length discrepancies
leg length discrepancies, causes, pelvic tilts
leg length discrepancies, causes, LBP
",
causes,23640312,"Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. 

###

","A SYSTEMATIC REVIEW: THE EFFECTS OF PODIATRICAL DEVIATIONS ON NONSPECIFIC CHRONIC LOW BACK PAIN. Lower back pain (LBP) is a widespread, expensive, and debilitating problem in Western industrialized countries. Though LBP can be caused by acute injuries, biomechanical discrepancies have also been indicated to cause chronic LBP. A possible link between podiatrical deviations and LBP has been established in the literature; yet, no comprehensive review investigating the effects of foot and ankle deviations on low back pain has been published. The aim of this study was to assess the relevant literature concerning the effects of foot and ankle deviations on LBP. After review, it was determined that there is limited research regarding ankle and foot deviations and their connection to LBP. Reviewed studies have linked flat feet, ankle instability, sagittal plane blockage and excessive pronation to LBP. Specifically, excessive pronation has been shown to cause leg length discrepancies leading to pelvic tilts and LBP. Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. Clinicians should consider the foot and ankle when addressing LBP, especially if more conventional etiologies fail to describe the condition.","
ankle deviations, causes, LBP
foot deviations, causes, LBP
",
causes,23640312," Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. 

###

","A SYSTEMATIC REVIEW: THE EFFECTS OF PODIATRICAL DEVIATIONS ON NONSPECIFIC CHRONIC LOW BACK PAIN. Lower back pain (LBP) is a widespread, expensive, and debilitating problem in Western industrialized countries. Though LBP can be caused by acute injuries, biomechanical discrepancies have also been indicated to cause chronic LBP. A possible link between podiatrical deviations and LBP has been established in the literature; yet, no comprehensive review investigating the effects of foot and ankle deviations on low back pain has been published. The aim of this study was to assess the relevant literature concerning the effects of foot and ankle deviations on LBP. After review, it was determined that there is limited research regarding ankle and foot deviations and their connection to LBP. Reviewed studies have linked flat feet, ankle instability, sagittal plane blockage and excessive pronation to LBP. Specifically, excessive pronation has been shown to cause leg length discrepancies leading to pelvic tilts and LBP. Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. Clinicians should consider the foot and ankle when addressing LBP, especially if more conventional etiologies fail to describe the condition.","
ankle deviations, causes, LBP
foot deviations, causes, LBP
",
causes,23640312," Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. 

###

","A SYSTEMATIC REVIEW: THE EFFECTS OF PODIATRICAL DEVIATIONS ON NONSPECIFIC CHRONIC LOW BACK PAIN. Lower back pain (LBP) is a widespread, expensive, and debilitating problem in Western industrialized countries. Though LBP can be caused by acute injuries, biomechanical discrepancies have also been indicated to cause chronic LBP. A possible link between podiatrical deviations and LBP has been established in the literature; yet, no comprehensive review investigating the effects of foot and ankle deviations on low back pain has been published. The aim of this study was to assess the relevant literature concerning the effects of foot and ankle deviations on LBP. After review, it was determined that there is limited research regarding ankle and foot deviations and their connection to LBP. Reviewed studies have linked flat feet, ankle instability, sagittal plane blockage and excessive pronation to LBP. Specifically, excessive pronation has been shown to cause leg length discrepancies leading to pelvic tilts and LBP. Based on these results, ankle and foot deviations can be considered a potential cause for LBP due to the disruption of the kinetic chain from the foot to the back. Clinicians should consider the foot and ankle when addressing LBP, especially if more conventional etiologies fail to describe the condition.","
ankle deviations, causes, LBP
foot deviations, causes, LBP
",
causes,32691346," Duchenne muscular dystrophy (DMD) is a severe X-linked neuromuscular childhood disorder that causes progressive muscle weakness and degeneration and results in functional decline, loss of ambulation and early death of young men due to cardiac or respiratory failure. 

###

","MUSCLE AND CARDIAC THERAPEUTIC STRATEGIES FOR DUCHENNE MUSCULAR DYSTROPHY: PAST, PRESENT, AND FUTURE. Duchenne muscular dystrophy (DMD) is a severe X-linked neuromuscular childhood disorder that causes progressive muscle weakness and degeneration and results in functional decline, loss of ambulation and early death of young men due to cardiac or respiratory failure. Although the major cause of the disease has been known for many years-namely mutation in the DMD gene encoding dystrophin, one of the largest human genes-DMD is still incurable, and its treatment is challenging.","
Duchenne muscular dystrophy (DMD), causes, muscle weakness
Duchenne muscular dystrophy (DMD), causes, muscle degeneration
Duchenne muscular dystrophy (DMD), causes, functional decline
Duchenne muscular dystrophy (DMD), causes, loss of ambulation
Duchenne muscular dystrophy (DMD), causes, death
Duchenne muscular dystrophy (DMD), causes, cardiac failure
Duchenne muscular dystrophy (DMD), causes, respiratory failure
respiratory failure, causes, death
cardiac failure, causes, death
",
causes,32691346," Duchenne muscular dystrophy (DMD) is a severe X-linked neuromuscular childhood disorder that causes progressive muscle weakness and degeneration and results in functional decline, loss of ambulation and early death of young men due to cardiac or respiratory failure. 

###

","MUSCLE AND CARDIAC THERAPEUTIC STRATEGIES FOR DUCHENNE MUSCULAR DYSTROPHY: PAST, PRESENT, AND FUTURE. Duchenne muscular dystrophy (DMD) is a severe X-linked neuromuscular childhood disorder that causes progressive muscle weakness and degeneration and results in functional decline, loss of ambulation and early death of young men due to cardiac or respiratory failure. Although the major cause of the disease has been known for many years-namely mutation in the DMD gene encoding dystrophin, one of the largest human genes-DMD is still incurable, and its treatment is challenging.",,
causes,32691346," Duchenne muscular dystrophy (DMD) is a severe X-linked neuromuscular childhood disorder that causes progressive muscle weakness and degeneration and results in functional decline, loss of ambulation and early death of young men due to cardiac or respiratory failure. 

###

","MUSCLE AND CARDIAC THERAPEUTIC STRATEGIES FOR DUCHENNE MUSCULAR DYSTROPHY: PAST, PRESENT, AND FUTURE. Duchenne muscular dystrophy (DMD) is a severe X-linked neuromuscular childhood disorder that causes progressive muscle weakness and degeneration and results in functional decline, loss of ambulation and early death of young men due to cardiac or respiratory failure. Although the major cause of the disease has been known for many years-namely mutation in the DMD gene encoding dystrophin, one of the largest human genes-DMD is still incurable, and its treatment is challenging.",,
causes,28597829," Infections of the genital tract are considered common causes of male fertility disorders, with a prevalence of 6-10%. 

###

","UROGENITAL INFECTION AS A RISK FACTOR FOR MALE INFERTILITY. Infections of the genital tract are considered common causes of male fertility disorders, with a prevalence of 6-10%. Most of the affected men are asymptomatic. The diagnostic evaluation is based mainly on laboratory testing. Inconsistent diagnostic criteria have been applied to date, and this may explain the controversial debate about the role of infection and inflammation in the genital tract as a cause of infertility. The risk of an irreversible fertility disorder should not be underestimated.","
Infections of the genital tract, causes, male fertility disorders
",
causes,28597829," Inconsistent diagnostic criteria have been applied to date, and this may explain the controversial debate about the role of infection and inflammation in the genital tract as a cause of infertility. 

###

","UROGENITAL INFECTION AS A RISK FACTOR FOR MALE INFERTILITY. Infections of the genital tract are considered common causes of male fertility disorders, with a prevalence of 6-10%. Most of the affected men are asymptomatic. The diagnostic evaluation is based mainly on laboratory testing. Inconsistent diagnostic criteria have been applied to date, and this may explain the controversial debate about the role of infection and inflammation in the genital tract as a cause of infertility. The risk of an irreversible fertility disorder should not be underestimated.",,
causes,33331043," This systematic literature review examines the available data on mortality and causes of death in PwcHA to enable a better understanding of fatalities in PwcHA and evaluate the impact of new treatment paradigms on mortality. 

###

","MORTALITY IN CONGENITAL HEMOPHILIA A - A SYSTEMATIC LITERATURE REVIEW. Against a background of a rapidly evolving treatment landscape, a contemporary, evidence-based consolidated understanding of mortality in people with congenital hemophilia A (PwcHA) is lacking. This systematic literature review examines the available data on mortality and causes of death in PwcHA to enable a better understanding of fatalities in PwcHA and evaluate the impact of new treatment paradigms on mortality. A systematic literature review of observational studies was conducted by searching Medline, Embase, and clinical trials registries for articles published from January 2010 to March 2020, using the search terms: hemophilia A (HA), mortality, cause of death. Interventional studies, studies not reporting fatalities, and those reporting only on hemophilia B, acquired HA, or mixed other coagulopathies were excluded. Overall, 7818 unique records were identified and 17 were analyzed. Of these, six reported mortality rates and five reported mortality ratios. Mortality generally decreased over time, despite a spike associated with human immunodeficiency virus (HIV)/hepatitis C virus (HCV) infection in the 1980s and 1990s. Mortality was strongly correlated with age and hemophilia severity. People with hemophilia had a raised mortality risk compared with the general population, particularly in severe hemophilia, and when infected with HIV or HCV. Causes of death varied across populations, countries, and time in 15 identified studies; however, incomplete and heterogeneous reporting limits evidence. Hemorrhage, HIV, HCV, and hepatic disease were the leading causes of death. A unified approach to reporting mortality and cause of death is needed to understand mortality in PwcHA as treatments continue to advance.",,
causes,33331043,"A systematic literature review of observational studies was conducted by searching Medline, Embase, and clinical trials registries for articles published from January 2010 to March 2020, using the search terms: hemophilia A (HA), mortality, cause of death. 

###

","MORTALITY IN CONGENITAL HEMOPHILIA A - A SYSTEMATIC LITERATURE REVIEW. Against a background of a rapidly evolving treatment landscape, a contemporary, evidence-based consolidated understanding of mortality in people with congenital hemophilia A (PwcHA) is lacking. This systematic literature review examines the available data on mortality and causes of death in PwcHA to enable a better understanding of fatalities in PwcHA and evaluate the impact of new treatment paradigms on mortality. A systematic literature review of observational studies was conducted by searching Medline, Embase, and clinical trials registries for articles published from January 2010 to March 2020, using the search terms: hemophilia A (HA), mortality, cause of death. Interventional studies, studies not reporting fatalities, and those reporting only on hemophilia B, acquired HA, or mixed other coagulopathies were excluded. Overall, 7818 unique records were identified and 17 were analyzed. Of these, six reported mortality rates and five reported mortality ratios. Mortality generally decreased over time, despite a spike associated with human immunodeficiency virus (HIV)/hepatitis C virus (HCV) infection in the 1980s and 1990s. Mortality was strongly correlated with age and hemophilia severity. People with hemophilia had a raised mortality risk compared with the general population, particularly in severe hemophilia, and when infected with HIV or HCV. Causes of death varied across populations, countries, and time in 15 identified studies; however, incomplete and heterogeneous reporting limits evidence. Hemorrhage, HIV, HCV, and hepatic disease were the leading causes of death. A unified approach to reporting mortality and cause of death is needed to understand mortality in PwcHA as treatments continue to advance.",,
causes,33331043," Hemorrhage, HIV, HCV, and hepatic disease were the leading causes of death. 

###

","MORTALITY IN CONGENITAL HEMOPHILIA A - A SYSTEMATIC LITERATURE REVIEW. Against a background of a rapidly evolving treatment landscape, a contemporary, evidence-based consolidated understanding of mortality in people with congenital hemophilia A (PwcHA) is lacking. This systematic literature review examines the available data on mortality and causes of death in PwcHA to enable a better understanding of fatalities in PwcHA and evaluate the impact of new treatment paradigms on mortality. A systematic literature review of observational studies was conducted by searching Medline, Embase, and clinical trials registries for articles published from January 2010 to March 2020, using the search terms: hemophilia A (HA), mortality, cause of death. Interventional studies, studies not reporting fatalities, and those reporting only on hemophilia B, acquired HA, or mixed other coagulopathies were excluded. Overall, 7818 unique records were identified and 17 were analyzed. Of these, six reported mortality rates and five reported mortality ratios. Mortality generally decreased over time, despite a spike associated with human immunodeficiency virus (HIV)/hepatitis C virus (HCV) infection in the 1980s and 1990s. Mortality was strongly correlated with age and hemophilia severity. People with hemophilia had a raised mortality risk compared with the general population, particularly in severe hemophilia, and when infected with HIV or HCV. Causes of death varied across populations, countries, and time in 15 identified studies; however, incomplete and heterogeneous reporting limits evidence. Hemorrhage, HIV, HCV, and hepatic disease were the leading causes of death. A unified approach to reporting mortality and cause of death is needed to understand mortality in PwcHA as treatments continue to advance.","
Hemorrhage, causes, death
HIV, causes, death
HCV, causes, death
hepatic disease, causes, death
",
causes,27836005," While the main causes of maternal mortality in low and middle income countries are well understood, less is known about whether patterns for causes of maternal deaths among adolescents are the same as for older women. 

###

","THE CAUSES OF MATERNAL MORTALITY IN ADOLESCENTS IN LOW AND MIDDLE INCOME COUNTRIES: A SYSTEMATIC REVIEW OF THE LITERATURE. While the main causes of maternal mortality in low and middle income countries are well understood, less is known about whether patterns for causes of maternal deaths among adolescents are the same as for older women. This study systematically reviews the literature on cause of maternal death in adolescence. Where possible we compare the main causes for adolescents with those for older women to ascertain differences and similarity in mortality patterns.",,
causes,27836005,"This study systematically reviews the literature on cause of maternal death in adolescence. 

###

","THE CAUSES OF MATERNAL MORTALITY IN ADOLESCENTS IN LOW AND MIDDLE INCOME COUNTRIES: A SYSTEMATIC REVIEW OF THE LITERATURE. While the main causes of maternal mortality in low and middle income countries are well understood, less is known about whether patterns for causes of maternal deaths among adolescents are the same as for older women. This study systematically reviews the literature on cause of maternal death in adolescence. Where possible we compare the main causes for adolescents with those for older women to ascertain differences and similarity in mortality patterns.",,
causes,29543761," Commonly used antiepileptic drugs are typically ineffective against metabolic epilepsy as they do not address its root cause. 

###

","TREATMENT, THERAPY AND MANAGEMENT OF METABOLIC EPILEPSY: A SYSTEMATIC REVIEW. Metabolic epilepsy is a metabolic abnormality which is associated with an increased risk of epilepsy development in affected individuals. Commonly used antiepileptic drugs are typically ineffective against metabolic epilepsy as they do not address its root cause. Presently, there is no review available which summarizes all the treatment options for metabolic epilepsy. Thus, we systematically reviewed literature which reported on the treatment, therapy and management of metabolic epilepsy from four databases, namely PubMed, Springer, Scopus and ScienceDirect. After applying our inclusion and exclusion criteria as per the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, we reviewed a total of 43 articles. Based on the reviewed articles, we summarized the methods used for the treatment, therapy and management of metabolic epilepsy. These methods were tailored to address the root causes of the metabolic disturbances rather than targeting the epilepsy phenotype alone. Diet modification and dietary supplementation, alone or in combination with antiepileptic drugs, are used in tackling the different types of metabolic epilepsy. Identification, treatment, therapy and management of the underlying metabolic derangements can improve behavior, cognitive function and reduce seizure frequency and/or severity in patients.",,
causes,29543761," These methods were tailored to address the root causes of the metabolic disturbances rather than targeting the epilepsy phenotype alone. 

###

","TREATMENT, THERAPY AND MANAGEMENT OF METABOLIC EPILEPSY: A SYSTEMATIC REVIEW. Metabolic epilepsy is a metabolic abnormality which is associated with an increased risk of epilepsy development in affected individuals. Commonly used antiepileptic drugs are typically ineffective against metabolic epilepsy as they do not address its root cause. Presently, there is no review available which summarizes all the treatment options for metabolic epilepsy. Thus, we systematically reviewed literature which reported on the treatment, therapy and management of metabolic epilepsy from four databases, namely PubMed, Springer, Scopus and ScienceDirect. After applying our inclusion and exclusion criteria as per the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, we reviewed a total of 43 articles. Based on the reviewed articles, we summarized the methods used for the treatment, therapy and management of metabolic epilepsy. These methods were tailored to address the root causes of the metabolic disturbances rather than targeting the epilepsy phenotype alone. Diet modification and dietary supplementation, alone or in combination with antiepileptic drugs, are used in tackling the different types of metabolic epilepsy. Identification, treatment, therapy and management of the underlying metabolic derangements can improve behavior, cognitive function and reduce seizure frequency and/or severity in patients.",,
causes,25302663," The Global Burden of Diseases, Injuries, and Risk Factors (GBD) Study 2010 documented that ischemic heart disease and stroke collectively caused one in four deaths worldwide. 

###

","THROMBOSIS: A MAJOR CONTRIBUTOR TO THE GLOBAL DISEASE BURDEN. Thrombosis is a common pathology underlying ischemic heart disease, ischemic stroke, and venous thromboembolism (VTE). The Global Burden of Diseases, Injuries, and Risk Factors (GBD) Study 2010 documented that ischemic heart disease and stroke collectively caused one in four deaths worldwide. GBD 2010 did not report data for VTE as a cause of death and disability. We performed a systematic review of the literature on the global disease burden caused by VTE in low-income, middle-income and high-income countries. Studies from western Europe, North America, Australia and southern Latin America (Argentina) yielded consistent results, with annual incidence rates ranging from 0.75 to 2.69 per 1000 individuals in the population. The incidence increased to between 2 and 7 per 1000 among those aged ≥ 70 years. Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low, because of population aging. VTE associated with hospitalization was the leading cause of disability-adjusted life-years (DALYs) lost in low-income and middle-income countries, and the second most common cause in high-income countries, being responsible for more DALYs lost than nosocomial pneumonia, catheter-related bloodstream infections, and adverse drug events. VTE causes a major burden of disease across low-income, middle-income and high-income countries. More detailed data on the global burden of VTE should be obtained to inform policy and resource allocation in health systems, and to evaluate whether improved utilization of preventive measures will reduce the burden. ","
ischemic heart disease, causes, death
stroke, causes, death
",
causes,25302663,"GBD 2010 did not report data for VTE as a cause of death and disability. 

###

","THROMBOSIS: A MAJOR CONTRIBUTOR TO THE GLOBAL DISEASE BURDEN. Thrombosis is a common pathology underlying ischemic heart disease, ischemic stroke, and venous thromboembolism (VTE). The Global Burden of Diseases, Injuries, and Risk Factors (GBD) Study 2010 documented that ischemic heart disease and stroke collectively caused one in four deaths worldwide. GBD 2010 did not report data for VTE as a cause of death and disability. We performed a systematic review of the literature on the global disease burden caused by VTE in low-income, middle-income and high-income countries. Studies from western Europe, North America, Australia and southern Latin America (Argentina) yielded consistent results, with annual incidence rates ranging from 0.75 to 2.69 per 1000 individuals in the population. The incidence increased to between 2 and 7 per 1000 among those aged ≥ 70 years. Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low, because of population aging. VTE associated with hospitalization was the leading cause of disability-adjusted life-years (DALYs) lost in low-income and middle-income countries, and the second most common cause in high-income countries, being responsible for more DALYs lost than nosocomial pneumonia, catheter-related bloodstream infections, and adverse drug events. VTE causes a major burden of disease across low-income, middle-income and high-income countries. More detailed data on the global burden of VTE should be obtained to inform policy and resource allocation in health systems, and to evaluate whether improved utilization of preventive measures will reduce the burden. ",,
causes,25302663,"We performed a systematic review of the literature on the global disease burden caused by VTE in low-income, middle-income and high-income countries. 

###

","THROMBOSIS: A MAJOR CONTRIBUTOR TO THE GLOBAL DISEASE BURDEN. Thrombosis is a common pathology underlying ischemic heart disease, ischemic stroke, and venous thromboembolism (VTE). The Global Burden of Diseases, Injuries, and Risk Factors (GBD) Study 2010 documented that ischemic heart disease and stroke collectively caused one in four deaths worldwide. GBD 2010 did not report data for VTE as a cause of death and disability. We performed a systematic review of the literature on the global disease burden caused by VTE in low-income, middle-income and high-income countries. Studies from western Europe, North America, Australia and southern Latin America (Argentina) yielded consistent results, with annual incidence rates ranging from 0.75 to 2.69 per 1000 individuals in the population. The incidence increased to between 2 and 7 per 1000 among those aged ≥ 70 years. Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low, because of population aging. VTE associated with hospitalization was the leading cause of disability-adjusted life-years (DALYs) lost in low-income and middle-income countries, and the second most common cause in high-income countries, being responsible for more DALYs lost than nosocomial pneumonia, catheter-related bloodstream infections, and adverse drug events. VTE causes a major burden of disease across low-income, middle-income and high-income countries. More detailed data on the global burden of VTE should be obtained to inform policy and resource allocation in health systems, and to evaluate whether improved utilization of preventive measures will reduce the burden. ","
VTE, causes, disease
",
causes,25302663," Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low, because of population aging. 

###

","THROMBOSIS: A MAJOR CONTRIBUTOR TO THE GLOBAL DISEASE BURDEN. Thrombosis is a common pathology underlying ischemic heart disease, ischemic stroke, and venous thromboembolism (VTE). The Global Burden of Diseases, Injuries, and Risk Factors (GBD) Study 2010 documented that ischemic heart disease and stroke collectively caused one in four deaths worldwide. GBD 2010 did not report data for VTE as a cause of death and disability. We performed a systematic review of the literature on the global disease burden caused by VTE in low-income, middle-income and high-income countries. Studies from western Europe, North America, Australia and southern Latin America (Argentina) yielded consistent results, with annual incidence rates ranging from 0.75 to 2.69 per 1000 individuals in the population. The incidence increased to between 2 and 7 per 1000 among those aged ≥ 70 years. Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low, because of population aging. VTE associated with hospitalization was the leading cause of disability-adjusted life-years (DALYs) lost in low-income and middle-income countries, and the second most common cause in high-income countries, being responsible for more DALYs lost than nosocomial pneumonia, catheter-related bloodstream infections, and adverse drug events. VTE causes a major burden of disease across low-income, middle-income and high-income countries. More detailed data on the global burden of VTE should be obtained to inform policy and resource allocation in health systems, and to evaluate whether improved utilization of preventive measures will reduce the burden. ",,
