prompt,completion
"The most frequent causes of failure of ST-GERD include errors in the initial indication, which often only need medical treatment, and surgical technical errors, for which surgical redo surgery can be difficult. 

###

"," 

#####"
" Rickettsioses are diseases caused by rickettsiae, obligate intracellular bacteria that are transmitted by arthropods to humans. 

###

"," 
rickettsiae | causes | rickettsioses
rickettsiae | causes | diseases
#####"
" Although CS is often the cause of diarrhoea among patients with gastroenteropancreatic NETs (GEP-NETs), other causes to consider include pancreatic enzyme insufficiency (PEI), bile acid malabsorption and small intestinal bacterial overgrowth. 

###

"," 
CS | causes | diarrhoea
pancreatic enzyme insufficiency (PEI) | causes | diarrhoea
bile acid malabsorption | causes | diarrhoea
small intestinal bacterial overgrowth | causes | diarrhoea
#####"
" Primary epiphyseal subacute osteomyelitis (PESAO) caused by Mycobacterium species in young children is poorly recognized. 

###

"," 
Mycobacterium species | causes | primary epiphyseal subacute osteomyelitis (PESAO)
#####"
" We performed a systematic review of the literature on the PubMed website by selecting all reports of isolated infantile PESAO caused by Mycobacterium species since 1975. 

###

"," 
Mycobacterium | causes | PESAO
#####"
" Mycobacterium species contribute to the burden of infantile PESAO in endemic tuberculosis areas and may cause growth disturbances. 

###

"," 

#####"
" A systematic review of the literature on maternal homicide and suicide was performed to understand the causes of pregnancy-associated death. 

###

"," 

#####"
"Forty-four studies examined homicide and/or suicide and pregnancy-associated death (defined as the death of a woman, from any cause, while she is pregnant or within 1 year of termination of pregnancy) (1). 

###

"," 

#####"
" Homicide is a leading cause of pregnancy-associated death and suicide is also an important cause of death among pregnant and recently pregnant women. 

###

"," 
homicide | causes |  pregnancy-associated death
suicide | causes | pregnancy-associated death
#####"
"Healthcare providers should understand that homicide is a leading cause of pregnancy-associated death, most commonly as a result of partner violence. 

###

"," 
homicide | causes |  pregnancy-associated death
partner violence | causes | homicide
partner violence | causes | pregnancy-associated death
#####"
" Healthcare providers should understand that homicide is a leading cause of pregnancy-associated death, most commonly as a result of partner violence. 

###

"," 
homicide | causes |  pregnancy-associated death
partner violence | causes | homicide
partner violence | causes | pregnancy-associated death
#####"
" This systematic review of literature was conducted to identify the causes and estimate the incidence of erroneous diagnoses. 

###

"," 

#####"
"We critically evaluated some articles in which the authors describe observations of urogenital tuberculosis as rare and unusual because they never encountered this disease, but in fact that were typical manifestations of genitourinary tuberculosis. 

###

"," 

#####"
" Really rare forms of bladder tuberculosis as the cause of diagnostic errors are described. 

###

"," 
bladder tuberculosis | causes | diagnostic errors
#####"
" The authors analyzed cases of granulomatous interstitial nephritis due to tuberculosis infection and tuberculosis of the renal artery as the cause of renovascular hypertension. 

###

"," 
tuberculosis | causes | granulomatous interstitial nephritis
tuberculosis of the renal artery | causes | renovascular hypertension
#####"
"OBESITY AND ASTHMA: ASSOCIATION OR COINCIDENCE? Asthma and obesity are among the major causes of morbidity in childhood and adolescence. 

###

"," 
asthma | causes | morbidity
obesity | causes | morbidity
#####"
" The frequent use (>15 times/month) of medication for the treatment of acute migraine attacks may cause medication overuse headache. 

###

"," 

#####"
"This kind of headache can be caused by the intake of a combination of analgesics, opioids, ergot alkaloids and triptans. 

###

"," 
medications | causes | headache
#####"
" Instabilities and dislocations after elbow arthroplasty, in particular in surface or unlinked prostheses, may cause functional impairments occasionally with the need for surgical revision. 

###

"," 
dislocations | causes | functional impairments
instabilities | causes | functional impairments
#####"
" Histopathological examination of the placenta is recommended to determine the cause of stillbirth. 

###

"," 

#####"
"Although some reports find causal or contributory placental abnormalities in up to 60% of stillbirths, the significance of such findings in this clinical setting remains uncertain. 

###

"," 
placental abnormalities | causes | stillbirths
#####"
" This problem can cause social embarrassment, and because saliva pools in the mouth, may lead to aspiration pneumonia. 

###

"," 

#####"
"Sialorrhea in PD is thought to be caused by impaired or infrequent swallowing, rather than hypersecretion. 

###

"," 
infrequent swallowing | causes | sialorrhea
impaired swallowing | causes | sialorrhea
#####"
" The Global Burden of Disease Study 2010 (GBD 2010) documented that ischemic heart disease and stroke collectively caused one in four deaths worldwide. 

###

"," 
ischemic heart disease | causes | death
stroke | causes | death
#####"
"GBD 2010 did not report data for VTE as a cause of death and disability. 

###

"," 

#####"
" Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low because of population aging. 

###

"," 

#####"
"VTE associated with hospitalization was the leading cause of disability-adjusted-life-years (DALYs) lost in low and middle income countries, and second in high income countries, responsible for more DALYs lost than nosocomial pneumonia, catheter-related blood stream infections, and adverse drug events. 

###

"," 

#####"
"VTE causes a major burden of disease across low, middle, and high income countries. 

###

"," 
VTE | causes | disease
#####"
" We performed a systematic review of the literature on the global disease burden due to VTE in low, middle and high income countries. 

###

"," 
VTE | causes | disease
#####"
" The Global Burden of Disease Study 2010 (GBD 2010) documented that ischaemic heart disease and stroke collectively caused one in four deaths worldwide. 

###

"," 
ischemic heart disease | causes | death
stroke | causes | death
#####"
"GBD 2010 did not report data for VTE as a cause of death and disability. 

###

"," 

#####"
" Although the incidence is lower in individuals of Chinese and Korean ethnicity, their disease burden is not low because of population aging. 

###

"," 

#####"
"VTE associated with hospitalisation was the leading cause of disability-adjusted-life-years (DALYs) lost in low and middle income countries, and second in high income countries, responsible for more DALYs lost than nosocomial pneumonia, catheter-related blood stream infections, and adverse drug events. 

###

"," 

#####"
"VTE causes a major burden of disease across low, middle, and high income countries. 

###

"," 
VTE | causes | disease 
#####"
" We performed a systematic review of the literature on the global disease burden due to VTE in low, middle and high income countries. 

###

"," 
VTE | causes | disease 
#####"
" Gallstones and alcohol abuse are the most frequent causes (75% of patients). 

###

"," 

#####"
"Other well-known causes are: hyperlipidemia, hypercalcaemia, abdominal surgery and drugs. 

###

"," 

#####"
"In 10%-40% of patients however, no cause is identified after initial diagnostic evaluation: acute idiopathic pancreatitis. 

###

"," 

#####"
" There are general complications caused either by the vascular access or the catheters (e. 

###

"," 
vascular access | causes | complications
catheters | causes | complications
#####"
" The purpose of this article is to give an overview on incidences, causes and management as well as prevention strategies of complications associated with catheter ablation of SVT. 

###

"," 

#####"
" Previous clinical studies indicated loss of retention between dowel and tooth was a major cause of failure for passive endodontic dowels. 

###

"," 
loss of retention between tooth and dowel | causes | failure for passive endodontic dowels
#####"
" It causes stress and requires the victim's adaptive capacity, which can cause psychological and biological changes. 

###

"," 
adaptation | causes | psychological changes
adaptation | causes | biological changes
#####"
" Ischemic stroke is a leading cause of death in Western society, where about 20% of cases are triggered by a carotid stenosis or occlusion, which occurs more frequently in men than in women. 

###

"," 
ischemic stroke | causes | death 
carotid stenosis | causes | ischemic stroke
carotid occlusion | causes | ischemic stroke
#####"
" Gender differences in the outcome of carotid artery repair may be caused by biological, anatomical (smaller vessel diameter in women) or hormonal differences as well as a protracted development of atherosclerotic changes in women and different plaque morphology. 

###

"," 

#####"
" Malaria recurrences caused by relapses are an important cause of morbidity and source of transmission. 

###

"," 
malaria recurrences | causes | morbidity
malaria relapses | causes | malaria recurrences
#####"
" vivax malaria recurrences caused by relapses in different geographical locations, we systematically reviewed clinical efficacy studies of uncomplicated P. 

###

"," 
vivax malaria relapses | causes | vivax malaria recurrences
#####"
" The minimum proportion of recurrences caused by relapses was estimated for each study site by assuming primaquine prevented all relapses and did not augment blood-stage efficacy. 

###

"," 

#####"
" Familial Mediterranean fever (FMF) causes recurrent episodes of fever and painful serositis. 

###

"," 
Familial Mediterranean fever (FMF) | causes | recurrent episodes of fever
Familial Mediterranean fever (FMF) | causes | painful serositis
#####"
"It has been suggested that FMF can cause recurrent aseptic meningitis (RAM). 

###

"," 
FMF | causes | aseptic meningitis (RAM) 
#####"
" Using the strength-of-conclusion scheme enumerated in Box 2, based on two class II studies, there is probably a causal link between deployment to the Persian Gulf theater of operation and the development of the poorly defined multisymptom illness known as GWS (level B). 

###

"," 
deployment to the Persian Gulf theater of operation | causes | GWS
#####"
"Based on class IV studies, there is insufficient evidence to determine if exposure to toxins encountered during the Persian Gulf war caused GWS (level U). 

###

"," 

#####"
"A major limitation of the literature regarding the GWS is the reliance on self-reporting to measure exposure to putative causal toxins. 

###

"," 

#####"
" The real debate surrounding medically unexplained conditions is not whether or not they exist, but defining their cause. 

###

"," 

#####"
" One camp insists that the conditions are caused by a yet-to-be-discovered medical problem, rejecting out of hand the possibility of a psychologic origin. 

###

"," 

#####"
" Thus, it is not clear whether pelvic venous congestion causes CPP and, if it does, whether it is a direct or indirect cause. 

###

"," 

#####"
" A systematic review of causation evidence is needed to prove whether pelvic venous congestion causes CPP and whether embolization treatment is effective. 

###

"," 

#####"
" Nonodontogenic toothache is a painful condition that occurs in the absence of a clinically evident cause in the teeth or periodontal tissues. 

###

"," 

#####"
" There are a number of possible causes of nonodontogenic toothache and they should be treated. 

###

"," 

#####"
"Nonodontogenic toothache can be categorised into eight groups according to primary disorders as follows: 1) myofascial pain referred to tooth/teeth, 2) neuropathic toothache, 3) idiopathic toothache, 4) neurovascular toothache, 5) sinus pain referred to tooth/teeth, 6) cardiac pain referred to tooth/teeth, 7) psychogenic toothache or toothache of psychosocial origin and 8) toothache caused by various other disorders. 

###

"," 
referred myofascial pain | causes | toothache
neuropathic disorders | causes | toothache
idiopathic disorders | causes | toothache
neurovascular disorders | causes | toothache
referred sinus pain | causes | toothache
referred cardiac pain | causes | toothache
psychogenic disorders | causes | toothache
#####"
" Prescribing errors are common, they result in adverse events and harm to patients and it is unclear how best to prevent them because recommendations are more often based on surmized rather than empirically collected data. 

###

"," 
prescribing errors | causes | adverse events
prescribing errors | causes | harm to patients
#####"
"The aim of this systematic review was to identify all informative published evidence concerning the causes of and factors associated with prescribing errors in specialist and non-specialist hospitals, collate it, analyse it qualitatively and synthesize conclusions from it. 

###

"," 

#####"
" To be included, a study had to be of handwritten prescriptions for adult or child inpatients that reported empirically collected data on the causes of or factors associated with errors. 

###

"," 

#####"
" Causes were grouped according to Reason's model of accident causation into active failures, error-provoking conditions and latent conditions. 

###

"," 

#####"
" Prescribing errors are often multifactorial, with several active failures and error-provoking conditions often acting together to cause them. 

###

"," 
active failures | causes | prescribing errors
error-provoking conditions | causes | prescribing errors
#####"
"In the face of such complexity, solutions addressing a single cause, such as lack of knowledge, are likely to have only limited benefit. 

###

"," 

#####"
" The active failure most frequently cited was a mistake due to inadequate knowledge of the drug or the patient. 

###

"," 

#####"
" Road traffic injuries are projected to be the leading cause of death for those aged between 15 and 29 years by the year 2030, and sleepiness is estimated to be the underlying cause in up to 15-20% of all motor vehicle accidents. 

###

"," 
sleepiness | causes | motor vehicle accidents
#####"
"Sleepiness at the wheel is most often caused by socially induced sleep deprivation or poor sleep hygiene in otherwise healthy individuals, medical disorders, or the intake of drugs. 

###

"," 
socially induced sleep deprivation | causes | sleepiness
poor sleep hygiene | causes | sleepiness
medical disorders | causes | sleepiness
drugs | causes | sleepiness
#####"
" Based on the assumption that the identification and treatment of sleepiness, and its causes, may prevent motor vehicle accidents, driving simulators are a seemingly promising diagnostic tool. 

###

"," 

#####"
" Information on the exact prevalence and distribution of underlying causes is scarce. 

###

"," 

#####"
" Its cause(s) are presently largely unknown. 

###

"," 

#####"
"The most common explanation for AD, now, is the amyloid cascade hypothesis, which states that the cause of AD is senile plaque formation by the amyloid β peptide, and the formation of neurofibrillary tangles by hyperphosphorylated tau. 

###

"," 
senile plaque formation by the amyloid β peptide | causes | AD
#####"
" Infection results in neuroinflammation, leading to, and sustained by, systemic inflammation, causing eventual neurodegeneration, and the senescence of the immune cells. 

###

"," 
infection | causes | neuroinflammation
infection | causes | systemic inflammation
neuroinflammation | causes | neurodegeneration
#####"
" History of trauma is considered one of the most common causes of unilateral hallux rigidus. 

###

"," 
trauma | causes | unilateral hallux rigidus
#####"
"Also, repetitive microtraumas or inflammatory and metabolic causes such as gout, rheumatoid arthritis and seronegative arthropathy can cause degeneration of the joint. 

###

"," 
repetitive microtraumas | causes | joint degeneration
gout | causes | joint degeneration
rheumatoid arthritis | causes | joint degeneration
seronegative arthropathy | causes | joint degeneration
#####"
" We systematically quantified excess mortality in epilepsy patients by cause of death using the population-attributable fraction and epilepsy-attributable years of potential life lost (YPLL) by age 75 years at ages 15 and over. 

###

"," 

#####"
"We updated and undertook a re-review of mortality studies from our previous systematic review following PRISMA guidelines to identify cohort studies of general epilepsy populations reporting a relative risk (RR) of death by cause relative to the background rates in the population. 

###

"," 

#####"
"2 % of excess YPLL due to epilepsy in the United States (US) and in the United Kingdom (UK) in 2010, with 541 (346-792) and 44 (28-65) excess suicide cases, respectively. 

###

"," 
epilepsy | causes | excess YPLL
#####"
" No systematic review has explored the causes of and factors associated with maternal mortality in the context of Iran. 

###

"," 

#####"
" It is regarded as a major cause of uncontrolled hypertension. 

###

"," 

#####"
"The exploration of its causes and the interventions to reduce it are plagued by unclear conceptualizations and hypothesized mechanisms. 

###

"," 

#####"
" In children with low back pain (LBP), a specific cause is often identified. 

###

"," 

#####"
" This article is a systematic review of the intrinsic causes of LBP. 

###

"," 

#####"
" We have divided the intrinsic causes of LBP into four main groups: mechanical, developmental, infectious/inflammatory, and neoplastic. 

###

"," 
mechanical disorders | causes | LBP
developmental disorders | causes | LBP
infectious disorders | causes | LBP
inflammatory disorders | causes | LBP
neoplastic disorders | causes | LBP
#####"
" Spondylolysis and spondylolisthesis are the most common causes of chronic LBP in children. 

###

"," 
spondylolysis | causes | LBP
spondylolisthesis | causes | LBP
#####"
"Thoracic or thoracolumbar Scheuermann disease causes kyphosis while a lumbar localization is more painful. 

###

"," 
thoracolumbar Scheuermann disease | causes | kyphosis
thoracic Scheuermann disease | causes | kyphosis
#####"
" Cysts, tumors, tumor-like lesions, and metastases are infrequent causes of back pain in children. 

###

"," 
cysts | causes | back pain in children
tumors | causes | back pain in children
tumor-like lesions | causes | back pain in children
metastases | causes | back pain in children
#####"
" Implant displacement into the maxillary sinus often results from features specific to the posterior maxillary teeth, including poor bone quality and insufficient remaining bone. 

###

"," 
poor bone quality | causes | implant displacement
insufficient remaining bone | causes | implant displacement
#####"
" The purpose of this study was to define the overall incidence of REVAS as well as both the sites of reflux and the causes of REVAS through a systematic review and meta-analysis of randomized controlled trials (RCTs) for EVA. 

###

"," 

#####"
" The objective was to identify how the causes of death and the relationship with socioeconomic conditions are stated in the literature. 

###

"," 

#####"
" Among the cause of death groups, the diarrhea-pneumonia group was predominant, followed by congenital abnormalities. 

###

"," 
diarrhea-pneumonia | causes | death
congenital abnormalities | causes | death
#####"
" In nephrogenic diabetes insipidus (NDI), the kidney is unable to produce concentrated urine because of the insensitivity of the distal nephron to antidiuretic hormone (arginine vasopressin). 

###

"," 
insensitivity of the distal nephron to antidiuretic hormone | causes | inability to produce concentrated urine
#####"
" In settings in which fluid intake cannot be maintained, this may result in severe dehydration and electrolyte imbalances. 

###

"," 

#####"
" Several recent cough guidelines have advised consideration of occupational or environmental causes for chronic cough, but it is unclear how frequently this recommendation has been routinely applied. 

###

"," 

#####"
" The purpose of this review is to assess the extent to which dementia is omitted as a cause of death from the death certificates of patients with dementia. 

###

"," 
dementia | causes | death
#####"
" Respiratory or circulatory-related problems were the most frequently reported causes of death among people who were demented but who were not reported as demented on death certificates. 

###

"," 
respiratory problems | causes | death
circulatory-related problems | causes | death
#####"
" The poor reporting of dementia on these certificates suggests a lack of awareness of the importance of dementia as a cause of death among medical personnel. 

###

"," 
Dementia | causes | death
#####"
" It is not easy to identify the cause of falling, because falling usually result from multiple factors. 

###

"," 

#####"
"Among various potential causes, osteoporosis, osteoarthritis, medication of hypnotic drugs, and environmental factors are important, because they are frequent and can be modifiable. 

###

"," 

#####"
" Human error is considered to be the main cause of preventable adverse events in high-risk industries, such as aviation. 

###

"," 
human error | causes | preventable adverse events
#####"
" The causes of PD remain poorly understood, although environmental toxicants may play etiologic roles. 

###

"," 

#####"
" At present, there is no consistent evidence from either the toxicological or epidemiologic perspective that any specific solvent or class of solvents is a cause of PD. 

###

"," 

#####"
" To our knowledge, none focused on the different causes which have been used to evaluate the preventability of readmissions. 

###

"," 

#####"
"Insight into the range of causes is crucial to understand the complex nature of readmissions. 

###

"," 

#####"
" Coronary artery disease (CAD) is one of the important causes of cardiovascular morbidity and mortality globally, giving rise to more than 7 million deaths annually. 

###

"," 
Coronary artery disease (CAD) | causes | cardiovascular morbidity
Coronary artery disease (CAD) | causes | cardiovascular mortality
Coronary artery disease (CAD) | causes | death
#####"
"An increasing burden of CAD in India is a major cause of concern with angina being the leading manifestation. 

###

"," 

#####"
" Stable coronary artery disease (SCAD) is characterised by episodes of transient central chest pain (angina pectoris), often triggered by exercise, emotion or other forms of stress, generally triggered by a reversible mismatch between myocardial oxygen demand and supply resulting in myocardial ischemia or hypoxia. 

###

"," 
exercise | causes | angina pectoris
emotion | causes | angina pectoris
stress | causes | angina pectoris
reversible mismatch between myocardial oxygen demand and supply | causes | myocardial ischemia
reversible mismatch between myocardial oxygen demand and supply | causes | myocardial hypoxia
#####"
" Retro-odontoid pseudotumor (RP) can be caused by several diseases, especially rheumatoid arthritis, and is usually associated with the presence of atlantoaxial instability. 

###

"," 
diseases | causes | retro-odontoid pseudotumor (RP)
rheumatoid arthritis | causes | retro-odontoid pseudotumor (RP)
#####"
" The aim of this literature review was to assess the relative frequency of causes of chronic urticaria in childhood and to provide guidance on which laboratory tests should be performed. 

###

"," 

#####"
" Data from studies conducted on children who had had urticaria for at least 6 weeks, and assessing at least 3 different causes of urticaria, were analysed by reviewers using independent extraction. 

###

"," 

#####"
" We conclude that children with chronic urticaria not caused by physical stimuli should undergo tests for allergy or infections only when there is a history of cause-effect correlation. 

###

"," 
physical stimuli | causes | chronic urticaria
#####"
" Recent research suggests that infertility and malignancy in UDT may be caused by abnormal development of the neonatal germ cells, or gonocytes, which normally transform into spermatogonial stem cells (SSC) or undergo apoptosis during minipuberty at 2-6 months in humans (2-6 days in mice). 

###

"," 

#####"
" Myocardial infarction/ischemia can be an underlying etiology and a major causative risk factor of cardiovascular hiccups. 

###

"," 
myocardial infarction | causes | cardiovascular hiccups
myocardial ischemia | causes | cardiovascular hiccups
#####"
" In elderly patients with hiccups of uncertain causes, electrocardiography is necessary to ensure the cardiogenic etiology. 

###

"," 
cardiac disorders | causes | hiccups
#####"
" Inferior myocardial infarction is the most common cause of hiccups in this patient setting. 

###

"," 
inferior myocardial infarction | causes | hiccups 
#####"
" It is especially helpful in patients undergoing stroke rehabilitation or palliative care when chlorpromazine is prohibited due to its adverse effects. 

###

"," 
chlorpromazine | causes | adverse effects 
#####"
" Mortality studies can help reduce health inequalities by informing public policy through a better understanding of causes of death and comorbidities. 

###

"," 

#####"
" To understand the causes of child deaths in order to implement appropriate child survival interventions in the country. 

###

"," 

#####"
" In most cases, it is caused by non-specific inflammation of the prostate and seminal vesicles. 

###

"," 

#####"
" The typical occupational cohort study includes all causes of mortality. 

###

"," 

#####"
" Although many of these studies will illustrate the ""healthy worker effect"" with deficits in mortality, particularly from cardiovascular causes, a thorough review should indicate certain exposures needing further research. 

###

"," 

#####"
" A follow-up study at one plant confirmed the known association between carbon disulfide and atherosclerosis, as well as suggested two new causal associations between CAHD and the use of phenol and ethanol as solvents. 

###

"," 

#####"
" The importance of examining the association between occupational exposures and heart disease include: Assessing whether adequate protection is afforded by current limits on exposure to substances known to cause heart disease (carbon disulfide, nitrates, and carbon monoxide).(

###

"," 
carbon disulfide | causes | heart disease
nitrates | causes | heart disease
carbon monoxide | causes | heart disease
#####"
" What additional techniques can be used to generate hypotheses on heart disease and occupation? Some possibilities include: A recent article describes the use of the results of occupational disease surveillance systems for occupational cancer research. 

###

"," 

#####"
" The clinician's job is to exclude malignancy as a cause and reach a diagnosis. 

###

"," 

#####"
"In children selected for open biopsy, reactive hyperplasia and other inflammatory causes are far more common as a final diagnosis than malignancy. 

###

"," 

#####"
" Myocardial infarction (MI) is one of the leading causes of mortality worldwide. 

###

"," 
myocardial infarction (MI) | causes | mortality
#####"
"It is caused by an acute imbalance between oxygen supply and demand in the myocardium, usually caused by an obstruction in the coronary arteries. 

###

"," 
coronary artery obstruction | causes | acute imbalance between oxygen supply and demand in the myocardium
#####"
" Excess or dysregulated host inflammatory responses cause much of the morbidity and mortality caused by severe influenza. 

###

"," 
dysregulated host inflammatory responses | causes | morbidity
dysregulated host inflammatory responses | causes | mortality
Excess host inflammatory responses | causes | morbidity
Excess host inflammatory responses | causes | mortality
severe influenza | causes | morbidity
severe influenza | causes | mortality
#####"
" This review surveys the results of lung transcriptome profiling studies in murine models that directly compare susceptible versus resistant hosts challenged with identical influenza infections. 

###

"," 

#####"
" The development of efficient and strategic anti-corruption measures can be better achieved if a deeper understanding and identification of the causes of corruption are established. 

###

"," 

#####"
" This has resulted in a significant increase in the body of knowledge on the subject matter, including the causative factors triggering these corrupt practices. 

###

"," 

#####"
" Moreover, there is an absence of unified view of the causative factors of corruption identified in construction project management (CPM). 

###

"," 

#####"
"This paper, therefore, presents a comprehensive review of the causes of corruption from selected articles in recognized construction management journals to address the mentioned gaps. 

###

"," 

#####"
"A total number of 44 causes of corruption were identified from 37 publications and analyzed in terms of existing causal factors of corruption, annual trend of publications and the thematic categorization of the identified variables. 

###

"," 

#####"
"The most identifiable causes were over close relationships, poor professional ethical standards, negative industrial and working conditions, negative role models and inadequate sanctions. 

###

"," 

#####"
"A conceptual framework of causes of corruption was established, after categorizing the 44 variables into five unique categories. 

###

"," 

#####"
" This study extends the current literature of corruption research in construction management and contributes to a deepened understanding of the causal instigators of corruption identified in CPM. 

###

"," 

#####"
" The finding of geographic differences points to two causes that are not mutually exclusive. 

###

"," 

#####"
"A virus mutation (D614G) may cause differing infectivity, while at the host level genetic, ethnicity-specific variants of the virus-binding entry proteins may facilitate virus entry in the olfactory epithelium and taste buds. 

###

"," 

#####"
" Coinfecting bacterial pathogens are a major cause of morbidity and mortality in influenza. 

###

"," 
bacterial pathogens coinfecting with influenza | causes | morbidity
bacterial pathogens coinfecting with influenza | causes | mortality
#####"
" The time-honored point of view is that LLC itself, or its increment, causes LBP. 

###

"," 
LLC | causes | LBP
#####"
"On the other hand, recently, the biomechanical role of LLC has been emphasized, and loss of lordosis is considered a possible cause of LBP. 

###

"," 
loss of lordosis | causes | LBP
#####"
